pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969080	ERS5446120	Coronahit routine	-	LR963233	NORW-EC6F9	-	be70527daabeffc2ac596fe2ad11ab0902bf992dc243ea15c764c9c37d7efa8b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fab7ad9001eef896155b6d9ecfdc16b44f33c859792370ad768ffbd0634590fa	NORW-EC6F9_ARTIC_LoCost	FALSE
ERR4970122	ERS5446120	Coronahit routine	-	LR963233	NORW-EC6F9	-	ad8216e37a686fa07b7fccf47627700c13b85ce9ed9ee052932110efb152f534	e2cdb1b95dd07f4954ba6256300508215b5cfbc4fb87846bc2774b5eb0e55be5	fab7ad9001eef896155b6d9ecfdc16b44f33c859792370ad768ffbd0634590fa	NORW-EC6F9_CoronaHiT-Illumina	FALSE
ERR4969029	ERS5446120	Coronahit routine	-	LR963233	NORW-EC6F9	-	1acfb1b1d170a65dec847de2fe44dd81e7f809bc81eca8e835ac22d6cd237f81	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fab7ad9001eef896155b6d9ecfdc16b44f33c859792370ad768ffbd0634590fa	NORW-EC6F9_CoronaHiT-ONT	FALSE
ERR4969081	ERS5446115	Coronahit routine	-	LR963212	NORW-EC705	-	4a520e9b076d3e7370289f47b468a304c24fd08789cdc4a6817b03c1508face1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a3c324803618c0f09f18e1c46592ddf43fe1772427ccac578e0747e09965848a	NORW-EC705_ARTIC_LoCost	FALSE
ERR4970130	ERS5446115	Coronahit routine	-	LR963212	NORW-EC705	-	56515a5fe822b4e7ddac721e1a1e5ec49a2ec073d6868e5f4dde698fed0b272d	c7d1257ae4f0dfb03db225a687815cf4c263b10077d5283f419f13a8d7c1fcf6	a3c324803618c0f09f18e1c46592ddf43fe1772427ccac578e0747e09965848a	NORW-EC705_CoronaHiT-Illumina	FALSE
ERR4969020	ERS5446115	Coronahit routine	-	LR963212	NORW-EC705	-	7215d55b5a0df3b97e94313943abc6097b33a675da1f08d0d41d409c18bdffd1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a3c324803618c0f09f18e1c46592ddf43fe1772427ccac578e0747e09965848a	NORW-EC705_CoronaHiT-ONT	FALSE
ERR4969076	ERS5446069	Coronahit routine	-	LR963226	NORW-EC714	-	092886ed37fec335f1616ebe086b3a7df4f78c9a12eb00db1c8f2336851b1b1e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	96de0f063861d46baffb9c2e0ac98e53c016850cfb042e7015d02693149892f6	NORW-EC714_ARTIC_LoCost	FALSE
ERR4970069	ERS5446069	Coronahit routine	-	LR963226	NORW-EC714	-	b9da9627665829a8b3bac258b249e22df19dc3ee4bae6dca94c56cc853f4348f	2bc5b81362095eac469a558b5df197477be12b9fb22f645c56aa2340bf00278e	96de0f063861d46baffb9c2e0ac98e53c016850cfb042e7015d02693149892f6	NORW-EC714_CoronaHiT-Illumina	FALSE
ERR4969026	ERS5446069	Coronahit routine	-	LR963226	NORW-EC714	-	37082c61feea1463bba915c4409651c8cf8b6594f589905ea9b20f3151298a23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	96de0f063861d46baffb9c2e0ac98e53c016850cfb042e7015d02693149892f6	NORW-EC714_CoronaHiT-ONT	FALSE
ERR4969075	ERS5446078	Coronahit routine	-	LR963206	NORW-EC732	-	ce4ee1cce72e41d0125aedc8f20f0d006025181ad3afb7014afe68fe268e4d8d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	aa6a1ad080aa33b89d42afe11d89a4e2d457a29c4bb3281f9891759e56056f1b	NORW-EC732_ARTIC_LoCost	FALSE
