pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969004	ERS5446121	Coronahit routine	-	LR963208	NORW-EB37B	-	591a2b0ad938d0de0e1a22ff29ecee41cae70e0905abb414139756ae7a7029e2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8c1a95cc10d1be37717ae833ee25837795938cd9da96ad11992d1aacaa0fcdf2	NORW-EB37B_CoronaHiT-ONT	FALSE
ERR4969122	ERS5446125	Coronahit routine	-	LR963187	NORW-EB3D5	-	d33f810c206bded3f91349ef97381fdfff57f29210a2ee486540e0e8f3a380eb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	37d76f49092408ab2e4b5c9bb9d238d1678e35bcfa50afb7aaa9f18a59c25f29	NORW-EB3D5_ARTIC_LoCost	FALSE
ERR4970127	ERS5446125	Coronahit routine	-	LR963187	NORW-EB3D5	-	e9304d1c0ff9bb5071593072ea893beb8acdc79e297b3ad3f115bcd631fb049a	68d1d705ceab3bd81a9149093059841d2fb17d87b1b393d693ff259a6087fe13	37d76f49092408ab2e4b5c9bb9d238d1678e35bcfa50afb7aaa9f18a59c25f29	NORW-EB3D5_CoronaHiT-Illumina	FALSE
ERR4968957	ERS5446125	Coronahit routine	-	LR963187	NORW-EB3D5	-	f2b1091bf6f1f62c8931c826348e704497719873413bede7aea63732bf47998f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	37d76f49092408ab2e4b5c9bb9d238d1678e35bcfa50afb7aaa9f18a59c25f29	NORW-EB3D5_CoronaHiT-ONT	FALSE
ERR4969063	ERS5446086	Coronahit routine	-	LR963220	NORW-EB43C	-	a0b898c79ddeea48a1c3adc7be55033ee2223eae221d45587ca1c741cbcf8f06	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ec12fd5d8b48d863fd123e87c7e6331b98a6909d3d9a58eb8de03d53b5136f57	NORW-EB43C_ARTIC_LoCost	FALSE
ERR4970112	ERS5446086	Coronahit routine	-	LR963220	NORW-EB43C	-	8b528edfd8afc322f9a665d379cefce248b32105164584447dd76edb3f1b6658	99bc716a5312be0e23d14a9b6905523e198e847756af010ed5ee04866c22bd42	ec12fd5d8b48d863fd123e87c7e6331b98a6909d3d9a58eb8de03d53b5136f57	NORW-EB43C_CoronaHiT-Illumina	FALSE
ERR4969011	ERS5446086	Coronahit routine	-	LR963220	NORW-EB43C	-	2d032916b6d9ca71c87abdadb5f9595a14af41acf88ab3fab5f105fa3d8e66d4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ec12fd5d8b48d863fd123e87c7e6331b98a6909d3d9a58eb8de03d53b5136f57	NORW-EB43C_CoronaHiT-ONT	FALSE
ERR4969062	ERS5446076	Coronahit routine	-	LR963173	NORW-EBEC5	-	65a93883c5ae16a1182e9431ef11012c16c9620876841e71fa5021d11478c9ff	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1b600152974fbe2018810d3daf73dc227a32baeb36f145f3430319574c8936f1	NORW-EBEC5_ARTIC_LoCost	FALSE
ERR4970086	ERS5446076	Coronahit routine	-	LR963173	NORW-EBEC5	-	d111b22d32c9b38b97fbd85d05047cb30344ac076965d332942c6d252e77be1c	470e55bda049e8dab4030809b3af5059eabec860f70969f4d5aeb9d1ff061fb2	1b600152974fbe2018810d3daf73dc227a32baeb36f145f3430319574c8936f1	NORW-EBEC5_CoronaHiT-Illumina	FALSE
ERR4968955	ERS5446076	Coronahit routine	-	LR963173	NORW-EBEC5	-	7a8cc86076584083bf6fb412bd600250f30b0bdaf0c870c34f1bbecbf107804a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1b600152974fbe2018810d3daf73dc227a32baeb36f145f3430319574c8936f1	NORW-EBEC5_CoronaHiT-ONT	FALSE
